,name,discription
1505,                    sodium lauroyl oat amino acids                ,"A salt created by condensing the chloride form of lauric acid (a fatty acid) with amino acids derived from oat protein. It functions as skin-softening and soothing ingredient and has cleansing properties.   Sodium lauroyl oat amino acids may be natural or synthetic. It’s considered very gentle and unlikely to cause skin dryness or irritation.  References for this information:International Journal of Toxicology, May/June Supplement, 2017, pages 17S-56SDermatitis, September/October 2010, pages 262-268"
1506,                    sodium lauroyl sarcosinate                ,Surfactant known (and used) for its foam-boosting properties.
1507,                    sodium lauryl glucose carboxylate                ,A gentle cleansing agent that may be derived from coconut or made synthetically.
1508,                    sodium lauryl sulfate                ,"Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant, but can also be used as a skin-conditioning agent, emulsifier, and solvent. Sodium lauryl sulfate (SLS) is one of the most sensitizing cleansing agents used in skincare products. In fact, it’s considered a standard comparison substance for measuring the skin sensitization of other ingredients. In fact, in scientific studies, when the researchers want to establish whether or not an ingredient is problematic for skin, they compare its effect to that of SLS.In amounts of 2% to 5%, sodium lauryl sulfate can cause sensitizing reactions for many people. Despite the sensitivity issue, it is not the same as the dire and erroneous warnings floating around the web about this ingredient, all of which have been debunked. Sodium lauryl sulfate isn’t a great ingredient in terms of its impact on skin, but its effects are not detrimental to one’s health.References for this information:Journal of Clinical & Experimental Dermatology Research, November 2014, ePublicationBritish Journal of Dermatology, July 2014, pages 115-123International Journal of Toxicology, July 2010, pages S151-S161Contact Dermatitis, January 2003, pages 26-32European Journal of Dermatology, September-October 2001, pages 416-419American Journal of Contact Dermatitis, May 2001, pages 28-32"
1509,                    sodium metabisulfite                ,"Reducing agent that alters the structure of hair. It can also be used as a preservative in formulations, and can be a skin sensitizer. However, it can also be an antioxidant.Reference for this information:Journal of Pharmaceutical Science and Technology, September–October 1999, pages 252–259"
1510,                    sodium methyl cocoyl taurate                ,Mild surfactant derived from coconut; often used in cleansers when the desired effect is a creamy foam. 
1511,                    sodium methyl taurate                ,Mild surfactant often combined with other cleansing agents.
1512,                    sodium myreth sulfate                ,"Detergent cleansing agent similar to sodium laureth sulfate or ammonium laureth sulfate. It is used most often in shampoos and sometimes in facial or body cleansers. Along with many other cleansing agent, sodium myreth sulfate has been thoroughly evaluated and deemed safe as used in the amounts commonly found in cosmetic products. This cleansing agent is not known to be milder or safer for hair than lots of other cleansing agents."
1513,                    sodium palmate                ,"Soap ingredient created by the salts of acids derived from palm oil. May be naturally derived or synthetic. As a soap ingredient, it can be drying and is typically formulated at an alkaline pH."
1514,                    sodium palm kernelate                ,
1515,                    sodium PCA                ,"Natural component of skin, PCA (pyrrolidone carboxylic acid) is also a very good hydrating agent. Sodium PCA also functions as a skin-replenishing ingredient.References for this information:Journal of Drugs in Dermatology, September 2014, pages 1,108-1,111Bio-Medical Materials and Engineering, 1995, pages 9-20"
1516,                    sodium PEG-7 olive oil carboxylate                ,A mild surfactant formed by reacting fatty acids from olive oil esters from polyethylene glycol (PEG).
